block,head,cos980,cos437,ratio980,ratio437,ls980,ls437,d_ratio,d_ls
4,4,0.989493,0.98897,1.073929,1.066241,1.053069,1.049117,0.007689,0.003952
4,5,0.962066,0.958581,1.494214,1.519624,1.12999,1.117536,-0.02541,0.012455
4,6,0.956744,0.950192,1.689758,1.783346,1.094553,1.088911,-0.093588,0.005642
4,7,0.974874,0.973696,0.793881,0.779388,0.95455,0.95246,0.014493,0.00209
4,8,0.839238,0.893022,-0.372329,0.008017,0.683474,0.73574,-0.380346,-0.052266
4,9,0.965199,0.964165,0.992439,0.991407,1.012031,1.010199,0.001032,0.001832
4,10,0.988702,0.989365,1.000264,0.96689,1.00308,0.973157,0.033373,0.029922
4,11,0.978477,0.977715,0.925416,0.924027,0.924226,0.924119,0.001388,0.000107
4,12,0.961371,0.960428,0.903348,0.888478,0.959887,0.961273,0.01487,-0.001386
4,13,0.982318,0.985793,1.070339,1.056758,1.031244,1.042212,0.013581,-0.010968
4,14,0.976033,0.973775,0.853234,0.820204,0.992461,0.98599,0.033031,0.00647
4,15,0.956107,0.950748,1.507468,1.601644,1.089513,1.076651,-0.094175,0.012862
5,0,0.994134,0.990044,1.002507,1.013499,0.998323,1.003696,-0.010992,-0.005373
5,1,0.930784,0.922531,0.680836,0.651055,0.769479,0.761568,0.029781,0.00791
5,2,0.9859,0.985772,0.917387,0.900706,0.920584,0.906071,0.016681,0.014513
5,3,0.979279,0.978187,0.828951,0.817486,0.933186,0.936914,0.011465,-0.003728
5,4,0.997061,0.995733,1.042554,1.051717,1.037773,1.04193,-0.009163,-0.004157
5,5,0.988433,0.990973,1.031642,1.023614,1.02545,1.021214,0.008028,0.004236
5,6,0.997191,0.99658,1.064403,1.075639,1.059591,1.069097,-0.011236,-0.009506
5,7,0.947951,0.947711,1.372477,1.33614,1.120753,1.097617,0.036337,0.023136
5,8,0.961577,0.959482,1.232576,1.242526,1.082195,1.072662,-0.00995,0.009533
5,9,0.973278,0.973278,1.058108,1.046611,1.021213,1.009515,0.011497,0.011698
5,10,0.962541,0.965916,0.74965,0.762618,0.808313,0.817902,-0.012968,-0.009589
5,11,0.956699,0.952305,0.899895,0.917038,0.897306,0.906134,-0.017143,-0.008828
5,12,0.929284,0.93535,0.684181,0.810812,0.881122,0.85739,-0.12663,0.023732
5,13,0.98956,0.989296,0.971608,0.967951,0.993255,0.993944,0.003657,-0.000688
5,14,0.981844,0.982038,0.966347,0.926927,0.961184,0.931261,0.03942,0.029923
5,15,0.885384,0.853461,0.698023,0.69094,0.822267,0.803007,0.007083,0.01926
6,0,0.951402,0.943037,1.034589,1.028089,0.973119,0.971754,0.0065,0.001365
6,1,0.972389,0.96651,0.817594,0.81982,0.857614,0.866158,-0.002226,-0.008544
6,2,0.980165,0.980976,0.821816,0.827924,0.907817,0.910305,-0.006108,-0.002488
6,3,0.918455,0.929542,1.057843,1.062589,0.970556,0.967408,-0.004747,0.003148
6,4,0.979714,0.975929,1.199987,1.196614,1.123083,1.110135,0.003373,0.012948
6,5,0.957037,0.938909,0.782751,0.750837,0.865081,0.855318,0.031915,0.009763
6,6,0.988169,0.990916,0.953112,0.956644,0.962322,0.959296,-0.003533,0.003026
6,7,0.991799,0.986362,1.041933,1.056092,1.033725,1.042962,-0.014159,-0.009237
6,8,0.960109,0.957747,0.729095,0.721725,0.851426,0.844905,0.00737,0.006521
6,9,0.992457,0.994777,0.928088,0.950316,0.948099,0.956508,-0.022228,-0.008409
6,10,0.949644,0.940104,0.997455,1.021548,0.99667,1.003474,-0.024092,-0.006803
6,11,0.957087,0.957499,0.997401,1.018352,0.960663,0.974256,-0.020951,-0.013593
6,12,0.992612,0.994451,0.944066,0.954086,0.973767,0.962971,-0.01002,0.010796
6,13,0.914582,0.909134,1.941829,1.9439,0.985253,0.96669,-0.002071,0.018563
6,14,0.968166,0.961202,0.84504,0.88084,0.94229,0.95482,-0.0358,-0.01253
6,15,0.983301,0.977432,0.993066,0.975505,0.991187,0.973379,0.017562,0.017807
7,0,0.992258,0.990594,1.056548,1.052633,1.050978,1.043211,0.003915,0.007767
7,1,0.975089,0.963936,0.993474,0.983118,0.992526,0.969101,0.010356,0.023424
7,2,0.978127,0.974506,1.021141,0.954191,0.999637,0.965493,0.06695,0.034144
7,3,0.977311,0.975974,0.880683,0.879109,0.884082,0.877383,0.001574,0.006699
7,4,0.877534,0.887254,0.441478,0.463292,0.682208,0.705981,-0.021814,-0.023773
7,5,0.924083,0.897985,1.164892,1.220103,1.034993,1.002443,-0.055212,0.03255
7,6,0.972226,0.973016,0.92973,0.953476,0.946359,0.949354,-0.023746,-0.002994
7,7,0.967493,0.965772,1.308818,1.308211,1.159283,1.147002,0.000606,0.012281
7,8,0.973639,0.972152,0.984763,0.958347,1.019964,0.999261,0.026416,0.020702
7,9,0.993424,0.989226,0.968072,0.94439,0.970067,0.947204,0.023683,0.022864
7,10,0.99818,0.997966,1.006525,1.014114,1.00605,1.012359,-0.007589,-0.006309
