block,head,cosine,mean8,mean9,ratio,abs8,abs9,abs_ratio,std8,std9,std_ratio,ls_scale,rmse,rmse_scaled
10,1,0.997630,18.322758,18.311808,0.999402,18.322758,18.311808,0.999402,1.721791,1.512542,0.878470,0.996045,1.266409,1.264315
10,2,0.989839,5.424268,4.729249,0.871869,5.424268,4.729249,0.871869,1.721238,1.808270,1.050563,0.880606,0.989729,0.719774
10,3,0.967889,3.379471,2.264536,0.670086,3.379471,2.268919,0.671383,1.428832,1.477720,1.034215,0.713101,1.252572,0.679332
10,4,0.999347,7.722399,7.125139,0.922659,7.722399,7.125139,0.922659,0.901720,0.983531,1.090728,0.924508,0.641903,0.259923
10,5,0.998583,9.360434,9.592443,1.024786,9.360434,9.592443,1.024786,1.454008,1.536347,1.056629,1.024091,0.565154,0.517035
10,6,0.990277,7.740368,7.459382,0.963699,7.740368,7.459382,0.963699,1.672993,1.562858,0.934168,0.953048,1.123410,1.060105
10,7,0.998761,6.816297,5.417809,0.794832,6.816297,5.417809,0.794832,1.086896,1.059717,0.974994,0.798780,1.415733,0.274664
10,8,0.994820,6.826525,7.141845,1.046190,6.826525,7.141845,1.046190,2.201708,2.282220,1.036568,1.039877,0.813872,0.761976
10,9,0.987703,7.693060,8.006163,1.040699,7.693060,8.006163,1.040699,1.288112,1.216200,0.944172,1.025429,1.281448,1.266006
10,10,0.988817,12.519960,12.133940,0.969168,12.519960,12.133940,0.969168,1.929397,1.871375,0.969927,0.958347,1.905400,1.830890
10,11,0.997126,8.328607,8.018741,0.962795,8.328607,8.018741,0.962795,1.856424,1.880470,1.012953,0.962445,0.701352,0.623877
10,12,0.984663,4.654810,3.205204,0.688579,4.654810,3.205204,0.688579,1.503183,1.586220,1.055241,0.719753,1.505809,0.623688
10,13,0.998006,10.480547,10.976362,1.047308,10.480547,10.976362,1.047308,1.335925,1.454885,1.089047,1.045896,0.850660,0.698931
10,14,0.909495,3.369001,2.254531,0.669199,3.369001,2.254531,0.669199,2.108881,1.969300,0.933813,0.684788,1.764624,1.243387
10,15,0.992378,4.621338,4.926938,1.066128,4.621338,4.926938,1.066128,2.068515,2.131527,1.030463,1.052196,0.712163,0.661347
11,0,0.999555,9.237181,9.389726,1.016514,9.237181,9.389726,1.016514,1.266644,1.211127,0.956170,1.014985,0.315028,0.282352
11,1,0.999351,9.609282,10.520954,1.094874,9.609282,10.520954,1.094874,1.918147,1.992437,1.038730,1.092074,0.981148,0.385698
11,2,0.996359,5.636644,6.023476,1.068628,5.636644,6.023476,1.068628,1.871901,1.965136,1.049808,1.062896,0.656622,0.540054
11,4,0.941488,3.775968,2.430565,0.643693,3.777053,2.494291,0.660380,2.025872,2.402477,1.185898,0.750475,1.570509,1.150748
11,5,0.983151,4.154196,5.197685,1.251189,4.154196,5.197685,1.251189,2.008111,2.183995,1.087587,1.201389,1.387198,1.030291
11,7,0.903435,3.777254,3.207753,0.849229,3.777254,3.207753,0.849229,2.199316,1.873626,0.851913,0.767836,1.887520,1.591857
11,8,0.992769,4.157978,4.093584,0.984513,4.157978,4.093584,0.984513,1.793812,1.854041,1.033576,0.985170,0.543443,0.539280
11,9,0.995881,3.625887,3.093362,0.853132,3.629765,3.100649,0.854229,1.538561,1.504477,0.977847,0.869651,0.600537,0.311769
11,11,0.997229,6.665429,5.452155,0.817975,6.665429,5.452155,0.817975,1.197116,1.239942,1.035774,0.823334,1.266567,0.415939
11,12,0.902153,4.130662,2.067297,0.500476,4.130662,2.093584,0.506840,1.619154,1.737583,1.073142,0.548826,2.315146,1.164109
11,13,0.999353,9.892299,10.954831,1.107410,9.892299,10.954831,1.107410,1.645941,1.849457,1.123647,1.107133,1.146173,0.399491
11,14,0.992444,4.811502,5.789006,1.203160,4.811502,5.789006,1.203160,2.429419,2.593716,1.067628,1.168080,1.193948,0.778074
11,15,0.999295,9.360631,10.053476,1.074017,9.360631,10.053476,1.074017,1.497177,1.686594,1.126516,1.074595,0.803982,0.382629
12,0,0.988459,-2.793502,-3.356408,1.201505,2.865619,3.439612,1.200303,0.870557,0.861930,0.990091,1.170707,0.724515,0.524898
12,1,0.988950,7.207337,7.950302,1.103085,7.207337,7.950302,1.103085,1.885478,1.721332,0.912942,1.079874,1.344602,1.205801
12,2,0.920529,1.349481,2.420537,1.793680,1.777771,2.532966,1.424799,2.257185,2.455354,1.087795,1.207415,1.451705,1.345650
12,3,0.999747,-3.393911,-3.703137,1.091112,3.485060,3.807830,1.092615,0.894471,0.989416,1.106146,1.091814,0.333566,0.086303
12,4,0.974247,2.948252,4.014795,1.361755,2.968616,4.014795,1.352413,2.340955,2.571186,1.098349,1.234033,1.389023,1.074395
12,5,0.911308,2.686944,3.009527,1.120056,2.686994,3.030461,1.127826,1.778713,2.220366,1.248299,1.057595,1.549909,1.538771
12,7,0.969424,4.981237,4.258357,0.854879,4.981237,4.258357,0.854879,1.096861,1.430201,1.303904,0.853687,1.330963,1.102103
12,8,0.930895,4.125742,3.982485,0.965277,4.135114,3.988491,0.964542,2.352195,2.263721,0.962387,0.897914,1.741329,1.672543
12,9,0.998701,7.133491,8.424690,1.181005,7.133491,8.424690,1.181005,1.465943,1.597679,1.089864,1.175933,1.353583,0.436870
12,10,0.994938,3.285849,2.621813,0.797910,3.285849,2.621813,0.797910,1.138706,1.126044,0.988881,0.816285,0.700121,0.286656
12,11,0.949237,3.894034,4.360447,1.119776,3.895600,4.360447,1.119326,2.209919,2.247965,1.017216,1.040125,1.552964,1.542547
