block,head,n,n_images,frac,cosine_mean,a_mean,a_std,a_min,a_max,a_range,ratio_mean,ratio_std
4,13,22,22,1.0,0.970356,0.698095,0.041691,0.590985,0.752407,0.161422,0.66483,0.044529
4,14,22,22,1.0,0.964158,0.973874,0.003054,0.966159,0.978569,0.012411,0.582832,0.057244
4,15,22,22,1.0,0.945915,0.888856,0.006864,0.877632,0.90834,0.030707,0.455548,0.091586
5,0,22,22,1.0,0.993766,0.801955,0.013125,0.773849,0.818799,0.04495,0.796488,0.013665
5,1,12,22,0.545455,0.915865,0.610791,0.014139,0.592,0.635649,0.043649,0.483866,0.026936
5,2,22,22,1.0,0.987332,0.688176,0.023749,0.629099,0.738372,0.109273,0.671233,0.029514
5,3,22,22,1.0,0.962661,0.889277,0.006237,0.877505,0.897938,0.020433,0.734501,0.028437
5,4,22,22,1.0,0.996571,0.892143,0.011405,0.864101,0.913394,0.049293,0.881652,0.013842
5,5,22,22,1.0,0.987978,0.829148,0.013736,0.80248,0.852051,0.049571,0.812404,0.018172
5,6,22,22,1.0,0.997433,0.90247,0.00758,0.888999,0.917667,0.028668,0.899937,0.008128
5,8,4,22,0.181818,0.904064,0.647123,0.004797,0.640611,0.65153,0.010919,0.466828,0.002168
5,9,22,22,1.0,0.95551,0.748245,0.016555,0.720318,0.771317,0.050999,0.664266,0.026835
5,10,20,22,0.909091,0.91245,0.826804,0.015279,0.801388,0.85737,0.055983,0.742204,0.025006
5,11,22,22,1.0,0.967742,0.56666,0.027195,0.50516,0.602774,0.097613,0.541296,0.030274
5,12,18,22,0.818182,0.925499,0.527693,0.021974,0.48582,0.579543,0.093723,0.453859,0.034435
5,13,22,22,1.0,0.977481,0.912405,0.002402,0.909165,0.916977,0.007812,0.816913,0.01373
5,14,22,22,1.0,0.987792,0.684634,0.014752,0.657239,0.707496,0.050257,0.667334,0.017174
5,15,9,22,0.409091,0.918065,0.52345,0.020894,0.494474,0.560161,0.065687,0.448857,0.014724
6,0,6,22,0.272727,0.906077,0.617771,0.010264,0.608491,0.637898,0.029406,0.443348,0.017571
6,1,21,22,0.954545,0.935881,0.6789,0.01268,0.658566,0.6975,0.038935,0.594109,0.020877
6,2,22,22,1.0,0.966922,0.877398,0.003615,0.872482,0.885822,0.013341,0.746884,0.007517
6,3,21,22,0.954545,0.938049,0.53374,0.035042,0.457334,0.580253,0.122919,0.484924,0.039511
6,4,22,22,1.0,0.972755,0.729704,0.014627,0.689236,0.747385,0.05815,0.680821,0.021135
6,5,10,22,0.454545,0.90866,0.668268,0.010231,0.658476,0.689631,0.031155,0.521246,0.018714
6,6,22,22,1.0,0.992821,0.772984,0.013022,0.741682,0.793667,0.051985,0.758451,0.01825
6,7,22,22,1.0,0.98787,0.809229,0.016281,0.781946,0.843076,0.06113,0.792923,0.017815
6,8,16,22,0.727273,0.904325,0.757248,0.007887,0.741044,0.775763,0.034719,0.531773,0.007912
6,9,22,22,1.0,0.992409,0.836613,0.014641,0.811267,0.8661,0.054833,0.81187,0.023384
6,10,18,22,0.818182,0.918854,0.776748,0.00955,0.759611,0.792468,0.032857,0.521673,0.031716
6,11,22,22,1.0,0.977333,0.558684,0.029387,0.50019,0.615263,0.115073,0.54748,0.029492
6,12,22,22,1.0,0.98813,0.822112,0.011195,0.80631,0.85166,0.04535,0.779936,0.0207
6,14,3,22,0.136364,0.907228,0.711747,0.01382,0.699538,0.72675,0.027213,0.460148,0.01578
6,15,22,22,1.0,0.937623,0.745972,0.008995,0.730752,0.761558,0.030807,0.520921,0.034806
7,0,22,22,1.0,0.991787,0.795061,0.015816,0.76286,0.819444,0.056584,0.785158,0.017254
