class_id,seed,block,head,mean8,mean9,ratio,cosine
500,0,2,1,1.624777,1.595099,0.981734,0.972100
500,0,2,2,0.316347,0.690241,2.181907,0.888129
500,0,2,3,0.342470,0.688331,2.009900,0.908972
500,0,2,4,0.471297,0.716159,1.519547,0.958344
500,0,2,5,3.970226,3.923766,0.988298,0.990269
500,0,2,6,1.441199,1.671199,1.159590,0.974039
500,0,2,7,0.401253,0.731136,1.822131,0.916895
500,0,2,8,0.547294,0.617049,1.127454,0.977683
500,0,2,9,4.214046,3.478132,0.825367,0.998101
500,0,2,10,0.375000,1.074642,2.865712,0.846400
500,0,2,11,2.854608,3.016557,1.056732,0.996337
500,0,2,12,0.374696,0.811781,2.166506,0.893360
500,0,2,13,0.738876,0.681323,0.922108,0.971763
500,0,2,14,-0.713111,-0.835693,1.171898,0.955666
500,0,2,15,0.251789,0.836004,3.320261,0.792527
500,0,3,0,1.327791,1.404717,1.057936,0.889216
500,0,3,1,2.254720,1.892856,0.839508,0.987032
500,0,3,2,0.950305,0.647650,0.681517,0.908442
500,0,3,3,1.270259,0.831529,0.654613,0.945275
500,0,3,4,2.336009,1.739306,0.744563,0.986506
500,0,3,5,2.085267,2.496961,1.197430,0.989490
500,0,3,6,2.066951,1.867665,0.903585,0.987498
500,0,3,7,0.705438,1.058071,1.499877,0.956807
500,0,3,8,8.650021,8.851251,1.023264,0.998002
500,0,3,9,2.636122,2.881678,1.093151,0.993943
500,0,3,10,3.254260,1.688072,0.518727,0.980417
500,0,3,11,0.377724,1.843393,4.880265,0.740471
500,0,3,12,2.688802,2.537326,0.943664,0.988508
500,0,3,13,6.374896,7.102420,1.114123,0.995913
500,0,3,14,1.116744,1.035565,0.927307,0.946142
500,0,3,15,2.262149,1.926653,0.851691,0.993447
500,0,4,0,2.500681,2.272542,0.908769,0.985263
500,0,4,1,2.191197,2.443641,1.115208,0.984555
500,0,4,2,0.661820,0.911973,1.377978,0.949165
500,0,4,3,2.614192,2.874997,1.099765,0.996774
500,0,4,4,4.273582,4.592274,1.074572,0.995146
500,0,4,5,1.779610,2.664743,1.497375,0.979703
500,0,4,6,1.557522,2.569036,1.649438,0.963903
